split,model,seed,rmse,test_scaffold_overlap
random,predict_mean,0,2.131136271844172,0.84
random,lightgbm_fingerprints,0,0.7923487939020585,0.84
random,predict_mean,1,2.204951003898639,0.8088888888888889
random,lightgbm_fingerprints,1,0.898485612577163,0.8088888888888889
random,predict_mean,2,2.126060088697968,0.8533333333333334
random,lightgbm_fingerprints,2,0.7705081999928443,0.8533333333333334
scaffold,predict_mean,0,2.5818147366849646,0.0
scaffold,lightgbm_fingerprints,0,1.1403111702839472,0.0
scaffold,predict_mean,1,2.6902688653420905,0.0
scaffold,lightgbm_fingerprints,1,1.2417627108757978,0.0
scaffold,predict_mean,2,1.8645087722482716,0.0
scaffold,lightgbm_fingerprints,2,0.9188735090362721,0.0
